id,title,author,total_rating,number_of_rating,publisher,cover_type,page_count,categories
181,Kiến Tạo Gia Đình Hạnh Phúc - Từ Bạn Đời Đến Bạn Đạo Tập 2,Tuệ An,4.8,29,Nhà Xuất Bản Hồng Đức,Bìa mềm,234,tam-ly-gioi-tinh
182,Hỏa Ngục,Dan Brown,4.7,297,Nhà Xuất Bản Lao Động,Bìa cứng,688,trinh-tham
183,Bạch Dạ Hành (Tái Bản),Higashino Keigo,4.8,1125,Nhà Xuất Bản Hội Nhà Văn,Bìa mềm,628,trinh-tham
184,COMBO 5 cuốn sách của tác giả Lôi Mễ:: đề thi đẫm máu + Cuồng vọng phi nhân tính + Sông ngầm + Ánh sáng thành phố + Tâm nguyện cuối cùng,,3.0,2,Nhà Xuất Bản Văn Học,,,trinh-tham
185,Nhà Ảo Thuật Đen Và Vụ Án Mạng Tại Thị Trấn Không Tên,Higashino Keigo,4.8,553,Nhà Xuất Bản Hà Nội,Bìa mềm,440,trinh-tham
186,Vụ Án Mạng Ở Nhà Khách Núi Hakuba,Higashino Keigo,4.8,800,Nhà Xuất Bản Hà Nội,Bìa mềm,336,trinh-tham
187,Thiếu Nữ (Shoujo),Minato Kanae,4.9,51,Nhà Xuất Bản Hà Nội,Bìa mềm,324,trinh-tham
188,Series Địch Công Kỳ Án Tập 15 - Hoa Văn Cây Liễu,Robert Van Gulik,4.8,40,Nhà Xuất Bản Văn Học,Bìa mềm,240,trinh-tham
189,Sau Tang Lễ,Agatha Christie,4.9,83,NXB Trẻ,Bìa mềm,368,trinh-tham
190,Tiểu thuyết trinh thám - Arsène Lupin - Siêu Trộm Hào Hoa - Boxset (trọn bộ 5 cuốn),.,4.2,10,Nhà Xuất Bản Văn Học,Bìa mềm,1800,trinh-tham
191,Giây Thứ 12 - Tập 2 (Trinh Thám),Sunness,4.8,30,Nhà Xuất Bản Văn Học,Bìa mềm,464,trinh-tham
192,Chuyện Kỳ Lạ Ở Tiệm Sách Cũ Tanabe,Miyabe Miyuki,4.9,16,Nhà Xuất Bản Thanh Niên,Bìa mềm,360,trinh-tham
193,Trường An Ly Ca 2 - Vén Mây Thấy Trời,Úc Phức,4.8,80,Nhà Xuất Bản Hà Nội,Bìa mềm,456,trinh-tham
194,Ảo Dạ (Tái Bản),Higashino Keigo,5.0,18,Nhà Xuất Bản Hà Nội,Bìa mềm,584,trinh-tham
195,Kẻ Nhắc Tuồng (Tái Bản),Donato Carrisi,4.9,157,Nhà Xuất Bản Phụ Nữ Việt Nam,Bìa mềm,516,trinh-tham
196,Series Địch Công Kỳ Án Tập 13 - Địch Gia Bát Án,Robert Van Gulik,4.7,43,Nhà Xuất Bản Văn Học,Bìa mềm,372,trinh-tham
197,Bãi săn người - Trinh Thám Kinh Dị,,4.8,98,Nhà Xuất Bản Văn Học,Bìa mềm,520,trinh-tham
198,Kẻ Lãng Quên - Pháp Y Tần Minh,Pháp Y Tần Minh,4.9,24,Nhà Xuất Bản Văn Học,Bìa mềm,464,trinh-tham
199,Bà Tổng Thống Trước Họng Súng - Hai Số Phận - Phần III,Jeffrey Archer,4.8,204,Nhà Xuất Bản Thanh Niên,Bìa cứng,488,trinh-tham
200,Hung Khí Hoàn Mỹ,Higashino Keigo,4.7,21,Nhà Xuất Bản Hà Nội,Bìa mềm,300,trinh-tham
201,Bóng Ma Trong Nhà Hát,Gaston Leroux,5.0,1,Nhà Xuất Bản Văn Học,,359,trinh-tham
202,Bộ Ba Quái Hiệp (Trinh Thám),Edgar Wallace,4.8,101,Nhà Xuất Bản Văn Học,Bìa mềm,420,trinh-tham
203,Khách Sạn Mặt Nạ 2 - Đêm Trước Lễ Hội Hóa Trang,Higashino Keigo,4.9,387,Nhà Xuất Bản Hà Nội,Bìa mềm,310,trinh-tham
204,Án Mạng Trên Sông Nile (Agatha Christie)(Tái Bản),Agatha Christie,4.9,292,NXB Trẻ,Bìa mềm,336,trinh-tham
205,Tội Phạm IQ Thấp,Tử Kim Trần,5.0,10,Nhà Xuất Bản Văn Học,Bìa mềm,552,trinh-tham
206,Dưới Cánh Đại Bàng (Bìa Mềm),Hoàng Yến,4.9,76,Nhà Xuất Bản Phụ Nữ,Bìa mềm,392,trinh-tham
207,Velma - Trinh Thám Cổ Điển Phương Tây,Raymond Chandler,4.8,140,Nhà Xuất Bản Văn Học,Bìa mềm,376,trinh-tham
208,Một Thế Giới Không Có Đàn Bà (Trinh Thám Việt Nam),Bùi Anh Tấn,4.4,14,Nhà Xuất Bản Công An Nhân Dân,Bìa mềm,460,trinh-tham
209,Án Mạng Mười Một Chữ,Higashino Keigo,4.8,1343,Nhà Xuất Bản Hà Nội,Bìa mềm,260,trinh-tham
210,Combo Trinh Thám Đen: Cô Dâu Đen + Ám Ảnh Đen + Điểm Hẹn Đen + Kết Hôn Với Người Chết,Cornell Woolrich,4.8,69,nxb van hoc,Bìa mềm,,trinh-tham
211,Cuốn Truyện Trinh Thám Hấp Dẫn: Di Sản Kinh Hoàng,Lisa Gardner,0,0,Nhà Xuất Bản Văn Học,Bìa mềm,,trinh-tham
212,Cuộc Diễu Hành Thầm Lặng,Higashino Keigo,4.9,252,Nhà Xuất Bản Hà Nội,Bìa mềm,532,trinh-tham
213,Khách Sạn Mặt Nạ 1,Higashino Keigo,4.8,421,Nhà Xuất Bản Hà Nội,Bìa mềm,460,trinh-tham
214,Phía Sau Nghi Can X (Tái Bản 2019),Higashino Keigo,4.8,3489,Nhà Xuất Bản Hội Nhà Văn,Bìa mềm,396,trinh-tham
215,19 Năm Mưu Sát - Tập 2 (Trinh Thám Trung Quốc),Na Đa,4.7,20,Nhà Xuất Bản Văn Học,Bìa mềm,320,trinh-tham
216,Combo Truyện Trinh Thám : Cuồng Vọng Phi Nhân Tính + Sông Ngầm ( Sách Trinh Thám Giúp Luyện Não / Tặng Kèm Bookmark Green Life ),,5.0,8,Nhà Xuất Bản Văn Học,Bìa mềm,467,trinh-tham
217,"Sách Người Tìm Xác tập 1+2 - Truyện trinh thám, linh dị",,4.9,156,Nhà Xuất Bản Hà Nội,,1020,trinh-tham
218,Combo Trinh Thám Trung Quốc: Phục Thù (2 tập),Hô Diên Vân,4.9,94,Nhà Xuất Bản Văn Học,,,trinh-tham
219,Mưu Sát - Tử Kim Trần ( Tái Bản ) - Tặng Kèm Sổ Tay,Tử Kim Trần,5.0,1,Nhà Xuất Bản Văn Học,Bìa mềm,419,trinh-tham
220,Series Địch Công Kỳ Án Tập 16 - Quảng Châu Án,Robert Van Gulik,3.9,7,Nhà Xuất Bản Văn Học,Bìa mềm,460,trinh-tham
221,Sự Im Lặng Của Bầy Cừu,Thomas Harris,4.6,23,,Bìa mềm,347,trinh-tham
222,Trường An Ly Ca 1 – Máu Đỏ Hoa Đào,Úc Phức,4.8,97,Nhà Xuất Bản Hà Nội,Bìa mềm,484,trinh-tham
223,combo ánh sáng thành phố + tâm nguyện cuối cùng + độc giả thứ 7,Lôi Mễ,4.7,3,Nhà Xuất Bản Văn Học,Bìa mềm,,trinh-tham
224,Hạn Chót Lúc Bình Minh,Cornell Woolrich,3.6,5,Nhà Xuất Bản Văn Học,Bìa mềm,368,trinh-tham
225,Combo Sherlock Holmes Toàn Tập (Trọn Bộ 3 Tập),Sir Arthur Conan Doyle,4.7,2074,Nhà Xuất Bản Hội Nhà Văn,Bìa cứng,,trinh-tham
226,Vụ Án Mạng Ở Lữ Quán Kairotei,Higashino Keigo,4.8,845,Nhà Xuất Bản Hà Nội,Bìa mềm,292,trinh-tham
227,19 Năm Mưu Sát - Tập 1 (Trinh Thám Trung Quốc),Na Đa,4.9,21,Nhà Xuất Bản Văn Học,Bìa mềm,324,trinh-tham
228,Người Tuyết,Jo Nesbo,5.0,1,Nhà Xuất Bản Hà Nội,Bìa mềm,520,trinh-tham
229,Combo Trinh Thám Giây Thứ 12 (2 Tập),Sunness,4.5,17,Nhà Xuất Bản Văn Học,Bìa mềm,464,trinh-tham
230,Vườn Hoa Mạt Dược Ký Sự - Những Kỳ Án Nổi Tiếng Chưa Có Lời Giải (Tặng Kèm 1 Bookmark Chữ Nhật),Hà Mạt Bì,4.8,677,Nhà Xuất Bản Thế Giới,Bìa mềm,400,trinh-tham
231,Vọng Lâu Tử Thần,Agatha Christie,5.0,82,NXB Trẻ,Bìa mềm,278,trinh-tham
232,Giây Thứ 12 - Tập 1 (Trinh Thám),Sunness,4.9,33,Nhà Xuất Bản Văn Học,Bìa mềm,420,trinh-tham
233,Sông Ngầm (Tái Bản),Lôi Mễ,5.0,1,Nhà Xuất Bản Văn Học,Bìa mềm,,trinh-tham
234,Vụ Án LEROUGE (Trinh Thám),Émile Gaboriau,4.8,79,Nhà Xuất Bản Văn Học,Bìa mềm,540,trinh-tham
